,0
0,Arkansas
1,Nevada
2,Oregon
3,West Virginia
4,Mississippi
5,Hawaii
6,Kentucky
7,New Jersey
8,Texas
9,Michigan
10,Wyoming
11,Montana
12,New Mexico
13,Georgia
14,Washington
15,Florida
16,Maine
17,Massachusetts
18,Alaska
19,Illinois
20,Minnesota
21,North Carolina
22,Alabama
23,Rhode Island
24,Connecticut
25,New Hampshire
26,Arizona
27,Delaware
28,Indiana
29,South Carolina
30,Pennsylvania
31,North Dakota
32,Utah
33,Tennessee
34,Missouri
35,South Dakota
36,Idaho
37,Oklahoma
38,Virginia
39,Wisconsin
40,Colorado
41,Iowa
42,Maryland
43,Vermont
44,Nebraska
45,Kansas
46,Louisiana
47,California
